nohup: ignoring input
2024-07-29 04:56:48,778 INFO     Starting server at tcp:port=8000:interface=127.0.0.1
2024-07-29 04:56:48,778 INFO     HTTP/2 support not enabled (install the http2 and tls Twisted extras)
2024-07-29 04:56:48,778 INFO     Configuring endpoint tcp:port=8000:interface=127.0.0.1
2024-07-29 04:56:48,779 INFO     Listening on TCP address 127.0.0.1:8000
Not Found: /favicon.ico
2024-07-29 04:57:02,881 WARNING  Not Found: /favicon.ico
Not Found: /favicon.ico
2024-07-29 05:18:25,952 WARNING  Not Found: /favicon.ico
2024-07-29 07:18:43,274 INFO     Killed 2 pending application instances
127.0.0.1:55204 - - [29/Jul/2024:04:57:02] "GET /" 200 6420
127.0.0.1:55220 - - [29/Jul/2024:04:57:02] "GET /favicon.ico" 404 7569
127.0.0.1:46904 - - [29/Jul/2024:05:18:25] "GET /" 200 6420
127.0.0.1:46914 - - [29/Jul/2024:05:18:25] "GET /favicon.ico" 404 7569
127.0.0.1:36256 - - [29/Jul/2024:06:50:15] "GET /problem/80/" 200 38604
127.0.0.1:36268 - - [29/Jul/2024:06:50:15] "GET /notifications/" 200 985
127.0.0.1:36280 - - [29/Jul/2024:06:50:15] "WSCONNECTING /ws/notifications/" - -
127.0.0.1:36280 - - [29/Jul/2024:06:50:15] "WSCONNECT /ws/notifications/" - -
127.0.0.1:40626 - - [29/Jul/2024:06:51:04] "GET /messages/gigi/" 200 2
127.0.0.1:40640 - - [29/Jul/2024:06:51:04] "WSCONNECTING /ws/chat/gigi/" - -
127.0.0.1:40640 - - [29/Jul/2024:06:51:04] "WSCONNECT /ws/chat/gigi/" - -
127.0.0.1:40654 - - [29/Jul/2024:06:51:07] "POST /notifications/create/" 200 21
127.0.0.1:40640 - - [29/Jul/2024:06:51:09] "WSDISCONNECT /ws/chat/gigi/" - -
127.0.0.1:50334 - - [29/Jul/2024:06:51:14] "WSCONNECTING /ws/chat/gigi/" - -
127.0.0.1:50334 - - [29/Jul/2024:06:51:14] "WSCONNECT /ws/chat/gigi/" - -
127.0.0.1:50338 - - [29/Jul/2024:06:51:15] "GET /notifications/" 200 985
127.0.0.1:51266 - - [29/Jul/2024:06:52:16] "GET /notifications/" 200 985
127.0.0.1:49614 - - [29/Jul/2024:06:53:16] "GET /notifications/" 200 985
127.0.0.1:55278 - - [29/Jul/2024:06:54:16] "GET /notifications/" 200 985
127.0.0.1:43672 - - [29/Jul/2024:06:55:16] "GET /notifications/" 200 985
127.0.0.1:60348 - - [29/Jul/2024:06:56:17] "GET /notifications/" 200 985
127.0.0.1:38122 - - [29/Jul/2024:06:57:18] "GET /notifications/" 200 985
127.0.0.1:36232 - - [29/Jul/2024:06:58:19] "GET /notifications/" 200 985
127.0.0.1:48816 - - [29/Jul/2024:06:59:20] "GET /notifications/" 200 985
127.0.0.1:60452 - - [29/Jul/2024:07:00:21] "GET /notifications/" 200 985
127.0.0.1:56364 - - [29/Jul/2024:07:01:22] "GET /notifications/" 200 985
127.0.0.1:55610 - - [29/Jul/2024:07:02:23] "GET /notifications/" 200 985
127.0.0.1:53118 - - [29/Jul/2024:07:03:16] "GET /notifications/" 200 985
127.0.0.1:52058 - - [29/Jul/2024:07:04:17] "GET /notifications/" 200 985
127.0.0.1:32986 - - [29/Jul/2024:07:05:18] "GET /notifications/" 200 985
127.0.0.1:37564 - - [29/Jul/2024:07:06:19] "GET /notifications/" 200 985
127.0.0.1:51402 - - [29/Jul/2024:07:07:20] "GET /notifications/" 200 985
127.0.0.1:50134 - - [29/Jul/2024:07:08:21] "GET /notifications/" 200 985
127.0.0.1:50816 - - [29/Jul/2024:07:09:22] "GET /notifications/" 200 985
127.0.0.1:33286 - - [29/Jul/2024:07:10:23] "GET /notifications/" 200 985
127.0.0.1:42826 - - [29/Jul/2024:07:11:24] "GET /notifications/" 200 985
127.0.0.1:55668 - - [29/Jul/2024:07:12:25] "GET /notifications/" 200 985
127.0.0.1:34672 - - [29/Jul/2024:07:13:26] "GET /notifications/" 200 985
127.0.0.1:33580 - - [29/Jul/2024:07:14:27] "GET /notifications/" 200 985
127.0.0.1:49314 - - [29/Jul/2024:07:15:28] "GET /notifications/" 200 985
127.0.0.1:52098 - - [29/Jul/2024:07:16:29] "GET /notifications/" 200 985
127.0.0.1:57434 - - [29/Jul/2024:07:17:30] "GET /notifications/" 200 985
127.0.0.1:52572 - - [29/Jul/2024:07:18:31] "GET /notifications/" 200 985
127.0.0.1:36280 - - [29/Jul/2024:07:18:43] "WSDISCONNECT /ws/notifications/" - -
127.0.0.1:50334 - - [29/Jul/2024:07:18:43] "WSDISCONNECT /ws/chat/gigi/" - -
